vitrine         quadro                           tema    tamanho                   fora-do-antialias/diferentes/total  maior Δ  veredito                      
relatorio       tabela-mov-itens                 claro   342x208                   990/1292/71136                      218      informa (mudou, como esperado)
relatorio       tabela-itens-grupo               claro   342x144                   645/833/49248                       245      informa (mudou, como esperado)
relatorio       filtros-tabela                   claro   342x64                    0/0/21888                           0        informa (não mudou)           
relatorio       grupo-colapsavel                 claro   342x76                    0/0/25992                           0        informa (não mudou)           
relatorio       legenda-delta                    claro   342x52                    0/0/17784                           0        ok (zero)                     
relatorio       legenda-estorno                  claro   342x52                    0/0/17784                           0        ok (zero)                     
relatorio       legenda-troca                    claro   342x52                    0/0/17784                           0        ok (zero)                     
relatorio       legenda-manutencao               claro   342x26 vs 342x28          1711/1918/9576                      255      informa (mudou, como esperado)
relatorio       glossario-relatorio              claro   342x44                    0/0/15048                           0        informa (não mudou)           
relatorio       lista-manutencao                 claro   342x32 vs 342x28          3175/3340/10944                     255      informa (mudou, como esperado)
relatorio       lista-modelo                     claro   342x64 vs 342x57          4923/5105/21888                     255      informa (mudou, como esperado)
relatorio       lista-modelo-categoria           claro   342x123 vs 342x112        9031/10657/42066                    255      informa (mudou, como esperado)
relatorio       lista-reservados                 claro   342x64 vs 342x57          6208/6467/21888                     255      informa (mudou, como esperado)
relatorio       manutencao-casos                 claro   342x390 vs 342x360        34241/36354/133380                  255      informa (mudou, como esperado)
relatorio       medidor-minimo-folga             claro   342x6                     0/0/2052                            0        ok (zero)                     
relatorio       medidor-minimo-atencao           claro   342x15 vs 342x16          585/612/5472                        255      informa (mudou, como esperado)
relatorio       medidor-minimo-abaixo            claro   342x6                     0/0/2052                            0        ok (zero)                     
relatorio       observacao-card                  claro   342x116                   226/275/39672                       255      informa (mudou, como esperado)
relatorio       resumo-periodo                   claro   342x226 vs 342x224        8646/9474/77292                     255      informa (mudou, como esperado)
relatorio       (foto inteira)                   claro   390x6928 vs 390x6880      346665/440515/2701920               255      informa (foto inteira)        
relatorio       kpi-tiles                        escuro  1392x95 vs 1392x94        13203/15054/132240                  255      informa (mudou, como esperado)
relatorio       kpi-tiles-delta                  escuro  1392x95 vs 1392x94        12746/14566/132240                  255      informa (mudou, como esperado)
relatorio       grupo-kpis                       escuro  1392x86 vs 1392x89        9151/10268/123888                   255      informa (mudou, como esperado)
relatorio       card-relatorio                   escuro  1392x134 vs 1392x138      12572/14477/192096                  255      informa (mudou, como esperado)
relatorio       card-relatorio-vazio             escuro  1392x140 vs 1392x146      13030/13359/203232                  255      informa (mudou, como esperado)
relatorio       celulas                          escuro  1392x73 vs 1392x72        5685/6106/101616                    255      informa (mudou, como esperado)
relatorio       tabela-saidas                    escuro  1392x265 vs 1392x264      27490/33021/368880                  255      informa (mudou, como esperado)
relatorio       tabela-entradas                  escuro  1392x233 vs 1392x232      26798/28697/324336                  255      informa (mudou, como esperado)
relatorio       tabela-transferencias            escuro  1392x195                  8529/9110/271440                    240      informa (mudou, como esperado)
relatorio       tabela-movimentacoes             escuro  1392x119                  12373/12731/165648                  245      informa (mudou, como esperado)
relatorio       tabela-mov-itens                 escuro  1392x201 vs 1392x200      19638/20529/279792                  255      informa (mudou, como esperado)
relatorio       tabela-itens-grupo               escuro  1392x144                  7183/7517/200448                    245      informa (mudou, como esperado)
relatorio       filtros-tabela                   escuro  1392x28                   0/0/38976                           0        informa (não mudou)           
relatorio       grupo-colapsavel                 escuro  1392x76                   0/0/105792                          0        informa (não mudou)           
relatorio       legenda-delta                    escuro  1392x20                   0/0/27840                           0        ok (zero)                     
relatorio       legenda-estorno                  escuro  1392x20                   0/0/27840                           0        ok (zero)                     
relatorio       legenda-troca                    escuro  1392x20                   0/0/27840                           0        ok (zero)                     
relatorio       legenda-manutencao               escuro  1392x26 vs 1392x28        3897/4070/38976                     255      informa (mudou, como esperado)
relatorio       glossario-relatorio              escuro  1392x494 vs 1392x508      96545/103339/707136                 255      informa (mudou, como esperado)
relatorio       lista-manutencao                 escuro  1392x32 vs 1392x28        7454/7581/44544                     255      informa (mudou, como esperado)
relatorio       lista-modelo                     escuro  1392x64 vs 1392x57        14504/14556/89088                   255      informa (mudou, como esperado)
relatorio       lista-modelo-categoria           escuro  1392x123 vs 1392x112      41721/41850/171216                  255      informa (mudou, como esperado)
relatorio       lista-reservados                 escuro  1392x64 vs 1392x57        15824/15917/89088                   255      informa (mudou, como esperado)
relatorio       manutencao-casos                 escuro  1392x145 vs 1392x132      40351/41900/201840                  255      informa (mudou, como esperado)
relatorio       medidor-minimo-folga             escuro  1392x6                    0/0/8352                            0        ok (zero)                     
relatorio       medidor-minimo-atencao           escuro  1392x15 vs 1392x16        1648/1662/22272                     255      informa (mudou, como esperado)
relatorio       medidor-minimo-abaixo            escuro  1392x6                    0/0/8352                            0        ok (zero)                     
relatorio       observacao-card                  escuro  1392x93                   222/275/129456                      227      informa (mudou, como esperado)
relatorio       resumo-periodo                   escuro  1392x190 vs 1392x224      55504/55594/311808                  255      informa (mudou, como esperado)
relatorio       (foto inteira)                   escuro  1440x5854 vs 1440x5870    628916/870544/8452800               255      informa (foto inteira)        
relatorio       kpi-tiles                        escuro  342x406 vs 342x410        19448/21678/140220                  255      informa (mudou, como esperado)
relatorio       kpi-tiles-delta                  escuro  342x406 vs 342x410        20305/22612/140220                  255      informa (mudou, como esperado)
relatorio       grupo-kpis                       escuro  342x181 vs 342x190        10864/13491/64980                   255      informa (mudou, como esperado)
relatorio       card-relatorio                   escuro  342x126 vs 342x122        5471/5915/43092                     255      informa (mudou, como esperado)
relatorio       card-relatorio-vazio             escuro  342x132 vs 342x130        2594/3206/45144                     255      informa (mudou, como esperado)
relatorio       celulas                          escuro  342x73 vs 342x72          2791/3115/24966                     255      informa (mudou, como esperado)
relatorio       tabela-saidas                    escuro  342x438                   11311/13043/149796                  245      informa (mudou, como esperado)
relatorio       tabela-entradas                  escuro  342x348                   8174/9060/119016                    240      informa (mudou, como esperado)
relatorio       tabela-transferencias            escuro  342x199                   4875/5429/68058                     240      informa (mudou, como esperado)
relatorio       tabela-movimentacoes             escuro  342x191                   5132/5527/65322                     240      informa (mudou, como esperado)
relatorio       tabela-mov-itens                 escuro  342x208                   993/1299/71136                      195      informa (mudou, como esperado)
relatorio       tabela-itens-grupo               escuro  342x144                   632/832/49248                       240      informa (mudou, como esperado)
relatorio       filtros-tabela                   escuro  342x64                    0/0/21888                           0        informa (não mudou)           
relatorio       grupo-colapsavel                 escuro  342x76                    0/0/25992                           0        informa (não mudou)           
relatorio       legenda-delta                    escuro  342x52                    0/0/17784                           0        ok (zero)                     
relatorio       legenda-estorno                  escuro  342x52                    0/0/17784                           0        ok (zero)                     
relatorio       legenda-troca                    escuro  342x52                    0/0/17784                           0        ok (zero)                     
relatorio       legenda-manutencao               escuro  342x26 vs 342x28          1797/1970/9576                      255      informa (mudou, como esperado)
relatorio       glossario-relatorio              escuro  342x44                    0/0/15048                           0        informa (não mudou)           
relatorio       lista-manutencao                 escuro  342x32 vs 342x28          3214/3340/10944                     255      informa (mudou, como esperado)
relatorio       lista-modelo                     escuro  342x64 vs 342x57          5054/5106/21888                     255      informa (mudou, como esperado)
relatorio       lista-modelo-categoria           escuro  342x123 vs 342x112        10529/10659/42066                   255      informa (mudou, como esperado)
relatorio       lista-reservados                 escuro  342x64 vs 342x57          6374/6467/21888                     255      informa (mudou, como esperado)
relatorio       manutencao-casos                 escuro  342x390 vs 342x360        34225/43828/133380                  255      informa (mudou, como esperado)
relatorio       medidor-minimo-folga             escuro  342x6                     0/0/2052                            0        ok (zero)                     
relatorio       medidor-minimo-atencao           escuro  342x15 vs 342x16          598/612/5472                        255      informa (mudou, como esperado)
relatorio       medidor-minimo-abaixo            escuro  342x6                     0/0/2052                            0        ok (zero)                     
relatorio       observacao-card                  escuro  342x116                   222/275/39672                       227      informa (mudou, como esperado)
relatorio       resumo-periodo                   escuro  342x226 vs 342x224        9325/9474/77292                     255      informa (mudou, como esperado)
relatorio       (foto inteira)                   escuro  390x6928 vs 390x6880      366046/584659/2701920               255      informa (foto inteira)        
confirmacoes    mesa-vazio                       claro   1392x78                   0/0/108576                          0        informa (não mudou)           
confirmacoes    mesa-nao-confere                 claro   1392x106                  0/0/147552                          0        informa (não mudou)           
confirmacoes    mesa-confere                     claro   1392x78                   0/0/108576                          0        informa (não mudou)           
confirmacoes    importar-vazio                   claro   1392x78 vs 1392x54        38235/38389/108576                  255      informa (mudou, como esperado)
confirmacoes    importar-nao-confere             claro   1392x106 vs 1392x82       57985/58198/147552                  255      informa (mudou, como esperado)
confirmacoes    importar-confere                 claro   1392x78 vs 1392x54        38239/38392/108576                  255      informa (mudou, como esperado)
confirmacoes    apagar-conta-vazio               claro   1392x78                   0/8/108576                          1        ok (zero)                     
confirmacoes    apagar-conta-nao-confere         claro   1392x106                  0/0/147552                          0        ok (zero)                     
confirmacoes    apagar-conta-confere             claro   1392x78                   0/0/108576                          0        ok (zero)                     
confirmacoes    apagar-conta-sem-email           claro   1392x62 vs 1392x86        37484/69801/119712                  255      informa (mudou, como esperado)
confirmacoes    destrutivo-vazio                 claro   1392x78                   0/0/108576                          0        ok (zero)                     
confirmacoes    destrutivo-nao-confere           claro   1392x106                  0/1/147552                          1        ok (zero)                     
confirmacoes    destrutivo-confere               claro   1392x78                   0/0/108576                          0        ok (zero)                     
confirmacoes    (foto inteira)                   claro   1440x2343 vs 1440x2295    244992/343148/3373920               255      informa (foto inteira)        
confirmacoes    mesa-vazio                       claro   342x78                    0/0/26676                           0        informa (não mudou)           
confirmacoes    mesa-nao-confere                 claro   342x106                   0/0/36252                           0        informa (não mudou)           
confirmacoes    mesa-confere                     claro   342x78                    0/0/26676                           0        informa (não mudou)           
confirmacoes    importar-vazio                   claro   342x78 vs 342x54          9939/10099/26676                    255      informa (mudou, como esperado)
confirmacoes    importar-nao-confere             claro   342x106 vs 342x82         16029/16249/36252                   255      informa (mudou, como esperado)
confirmacoes    importar-confere                 claro   342x78 vs 342x54          9942/10099/26676                    255      informa (mudou, como esperado)
confirmacoes    apagar-conta-vazio               claro   342x78                    0/8/26676                           1        ok (zero)                     
confirmacoes    apagar-conta-nao-confere         claro   342x126                   0/0/43092                           0        ok (zero)                     
confirmacoes    apagar-conta-confere             claro   342x78                    0/0/26676                           0        ok (zero)                     
confirmacoes    apagar-conta-sem-email           claro   342x62 vs 342x134         27166/35588/45828                   255      informa (mudou, como esperado)
confirmacoes    destrutivo-vazio                 claro   342x78                    0/0/26676                           0        ok (zero)                     
confirmacoes    destrutivo-nao-confere           claro   342x106                   0/0/36252                           0        ok (zero)                     
confirmacoes    destrutivo-confere               claro   342x78                    0/0/26676                           0        ok (zero)                     
confirmacoes    (foto inteira)                   claro   390x2379                  64403/70170/927810                  255      informa (foto inteira)        
confirmacoes    mesa-vazio                       escuro  1392x78                   0/0/108576                          0        informa (não mudou)           
confirmacoes    mesa-nao-confere                 escuro  1392x106                  0/0/147552                          0        informa (não mudou)           
confirmacoes    mesa-confere                     escuro  1392x78                   0/0/108576                          0        informa (não mudou)           
confirmacoes    importar-vazio                   escuro  1392x78 vs 1392x54        38308/69643/108576                  255      informa (mudou, como esperado)
confirmacoes    importar-nao-confere             escuro  1392x106 vs 1392x82       58017/111406/147552                 255      informa (mudou, como esperado)
confirmacoes    importar-confere                 escuro  1392x78 vs 1392x54        38313/69644/108576                  255      informa (mudou, como esperado)
confirmacoes    apagar-conta-vazio               escuro  1392x78                   0/31/108576                         11       ok (zero)                     
confirmacoes    apagar-conta-nao-confere         escuro  1392x106                  0/0/147552                          0        ok (zero)                     
confirmacoes    apagar-conta-confere             escuro  1392x78                   0/2/108576                          2        ok (zero)                     
confirmacoes    apagar-conta-sem-email           escuro  1392x62 vs 1392x86        39269/69811/119712                  255      informa (mudou, como esperado)
confirmacoes    destrutivo-vazio                 escuro  1392x78                   0/0/108576                          0        ok (zero)                     
confirmacoes    destrutivo-nao-confere           escuro  1392x106                  0/2/147552                          2        ok (zero)                     
confirmacoes    destrutivo-confere               escuro  1392x78                   0/2/108576                          2        ok (zero)                     
confirmacoes    (foto inteira)                   escuro  1440x2343 vs 1440x2295    251299/1017681/3373920              255      informa (foto inteira)        
confirmacoes    mesa-vazio                       escuro  342x78                    0/0/26676                           0        informa (não mudou)           
confirmacoes    mesa-nao-confere                 escuro  342x106                   0/0/36252                           0        informa (não mudou)           
confirmacoes    mesa-confere                     escuro  342x78                    0/0/26676                           0        informa (não mudou)           
confirmacoes    importar-vazio                   escuro  342x78 vs 342x54          10017/17144/26676                   255      informa (mudou, como esperado)
confirmacoes    importar-nao-confere             escuro  342x106 vs 342x82         16068/27406/36252                   255      informa (mudou, como esperado)
confirmacoes    importar-confere                 escuro  342x78 vs 342x54          10020/17144/26676                   255      informa (mudou, como esperado)
confirmacoes    apagar-conta-vazio               escuro  342x78                    0/31/26676                          11       ok (zero)                     
confirmacoes    apagar-conta-nao-confere         escuro  342x126                   0/0/43092                           0        ok (zero)                     
confirmacoes    apagar-conta-confere             escuro  342x78                    0/2/26676                           2        ok (zero)                     
confirmacoes    apagar-conta-sem-email           escuro  342x62 vs 342x134         27911/35593/45828                   255      informa (mudou, como esperado)
confirmacoes    destrutivo-vazio                 escuro  342x78                    0/0/26676                           0        ok (zero)                     
confirmacoes    destrutivo-nao-confere           escuro  342x106                   0/0/36252                           0        ok (zero)                     
confirmacoes    destrutivo-confere               escuro  342x78                    0/0/26676                           0        ok (zero)                     
confirmacoes    (foto inteira)                   escuro  390x2379                  66807/171293/927810                 245      informa (foto inteira)        
selos-sucesso   painel-sucesso                   claro   1392x1121                 0/0/1560432                         0        ok (zero)                     
selos-sucesso   status-badge                     claro   1392x24                   0/0/33408                           0        ok (zero)                     
selos-sucesso   (foto inteira)                   claro   1440x1399                 0/0/2014560                         0        informa (foto inteira)        
selos-sucesso   painel-sucesso                   claro   342x1363                  0/0/466146                          0        ok (zero)                     
selos-sucesso   status-badge                     claro   342x24                    0/0/8208                            0        ok (zero)                     
selos-sucesso   (foto inteira)                   claro   399x1641                  0/0/654759                          0        informa (foto inteira)        
selos-sucesso   painel-sucesso                   escuro  1392x1121                 0/0/1560432                         0        ok (zero)                     
selos-sucesso   status-badge                     escuro  1392x24                   0/0/33408                           0        ok (zero)                     
selos-sucesso   (foto inteira)                   escuro  1440x1399                 0/0/2014560                         0        informa (foto inteira)        
selos-sucesso   painel-sucesso                   escuro  342x1363                  0/0/466146                          0        ok (zero)                     
selos-sucesso   status-badge                     escuro  342x24                    0/0/8208                            0        ok (zero)                     
selos-sucesso   (foto inteira)                   escuro  399x1641                  0/0/654759                          0        informa (foto inteira)        
filtros         itens-filtros                    claro   1392x32                   0/0/44544                           0        ok (zero)                     
filtros         historico-filtros                claro   1392x60                   0/0/83520                           0        ok (zero)                     
filtros         ativos-filtros                   claro   1392x32                   0/0/44544                           0        ok (zero)                     
filtros         pendencias-filtros               claro   1392x66                   0/0/91872                           0        ok (zero)                     
filtros         lista-filtros                    claro   1392x60                   0/0/83520                           0        ok (zero)                     
filtros         (foto inteira)                   claro   1440x900                  0/0/1296000                         0        informa (foto inteira)        
filtros         itens-filtros                    claro   342x88                    0/0/30096                           0        ok (zero)                     
filtros         historico-filtros                claro   342x270                   0/0/92340                           0        ok (zero)                     
filtros         ativos-filtros                   claro   342x136                   0/0/46512                           0        ok (zero)                     
filtros         pendencias-filtros               claro   342x182                   0/0/62244                           0        ok (zero)                     
filtros         lista-filtros                    claro   342x272                   0/0/93024                           0        ok (zero)                     
filtros         (foto inteira)                   claro   390x1469                  0/0/572910                          0        informa (foto inteira)        
filtros         itens-filtros                    escuro  1392x32                   0/0/44544                           0        ok (zero)                     
filtros         historico-filtros                escuro  1392x60                   0/0/83520                           0        ok (zero)                     
filtros         ativos-filtros                   escuro  1392x32                   0/0/44544                           0        ok (zero)                     
filtros         pendencias-filtros               escuro  1392x66                   0/0/91872                           0        ok (zero)                     
filtros         lista-filtros                    escuro  1392x60                   0/0/83520                           0        ok (zero)                     
filtros         (foto inteira)                   escuro  1440x900                  0/0/1296000                         0        informa (foto inteira)        
filtros         itens-filtros                    escuro  342x88                    0/0/30096                           0        ok (zero)                     
filtros         historico-filtros                escuro  342x270                   0/0/92340                           0        ok (zero)                     
filtros         ativos-filtros                   escuro  342x136                   0/0/46512                           0        ok (zero)                     
filtros         pendencias-filtros               escuro  342x182                   0/0/62244                           0        ok (zero)                     
filtros         lista-filtros                    escuro  342x272                   0/0/93024                           0        ok (zero)                     
filtros         (foto inteira)                   escuro  390x1469                  0/0/572910                          0        informa (foto inteira)        

✔ 444 linhas comparadas, 0 reprovação(ões).
Relatório completo em docs/f61-evidencias/G-pixels.json
