vitrine         quadro                           tema    tamanho                   fora-do-antialias/diferentes/total  maior Δ  veredito                      
admin-tabelas   tipos-item-tabela-vazio          claro   342x202 vs 342x218        9306/10006/74556                    255      informa (mudou, como esperado)
admin-tabelas   itens-tabela                     claro   342x2610                  80/232/892620                       26       informa (mudou, como esperado)
admin-tabelas   itens-tabela--selo-1             claro   66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela--selo-2             claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   itens-tabela--selo-3             claro   66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela-vazio               claro   342x202 vs 342x218        9330/10059/74556                    255      informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela             claro   342x1955                  80/232/668610                       26       informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela--selo-1     claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-2     claro   52x20                     0/0/1040                            0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-3     claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela-vazio       claro   342x230 vs 342x246        13850/15026/84132                   255      informa (mudou, como esperado)
admin-tabelas   usuarios-tabela                  claro   342x4160 vs 342x4154      10725/13513/1422720                 255      informa (mudou, como esperado)
admin-tabelas   auditoria-tabela                 claro   342x153                   80/232/52326                        26       informa (mudou, como esperado)
admin-tabelas   auditoria-filtro                 claro   342x32                    108/180/10944                       140      informa (mudou, como esperado)
admin-tabelas   fila-consolidacao                claro   342x694 vs 342x688        23107/25228/237348                  255      informa (mudou, como esperado)
admin-tabelas   (foto inteira)                   claro   390x14053 vs 390x14079    284211/368213/5490810               255      informa (foto inteira)        
admin-tabelas   tipos-item-tabela                escuro  1392x2616 vs 1392x2606    143620/230996/3641472               255      informa (mudou, como esperado)
admin-tabelas   tipos-item-tabela--selo-1        escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela--selo-2        escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela--selo-3        escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela-vazio          escuro  1392x146 vs 1392x162      26800/27942/225504                  255      informa (mudou, como esperado)
admin-tabelas   itens-tabela                     escuro  1392x2198                 76/261/3059616                      24       informa (mudou, como esperado)
admin-tabelas   itens-tabela--selo-1             escuro  66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela--selo-2             escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   itens-tabela--selo-3             escuro  66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela-vazio               escuro  1392x146 vs 1392x162      26826/28012/225504                  255      informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela             escuro  1392x1581                 76/232/2200752                      24       informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela--selo-1     escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-2     escuro  52x20                     0/0/1040                            0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-3     escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela-vazio       escuro  1392x146 vs 1392x162      31432/32911/225504                  255      informa (mudou, como esperado)
admin-tabelas   usuarios-tabela                  escuro  1392x3468 vs 1392x3462    124182/187930/4827456               255      informa (mudou, como esperado)
admin-tabelas   auditoria-tabela                 escuro  1392x153                  76/232/212976                       24       informa (mudou, como esperado)
admin-tabelas   auditoria-filtro                 escuro  1392x32                   146/251/44544                       141      informa (mudou, como esperado)
admin-tabelas   fila-consolidacao                escuro  1392x350 vs 1392x348      29436/151840/487200                 255      informa (mudou, como esperado)
admin-tabelas   (foto inteira)                   escuro  1440x11799 vs 1440x11829  902243/2126616/17033760             255      informa (foto inteira)        
admin-tabelas   tipos-item-tabela                escuro  342x2852 vs 342x2842      66361/102959/975384                 255      informa (mudou, como esperado)
admin-tabelas   tipos-item-tabela--selo-1        escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela--selo-2        escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela--selo-3        escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela-vazio          escuro  342x202 vs 342x218        9297/9993/74556                     255      informa (mudou, como esperado)
admin-tabelas   itens-tabela                     escuro  342x2610                  76/232/892620                       24       informa (mudou, como esperado)
admin-tabelas   itens-tabela--selo-1             escuro  66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela--selo-2             escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   itens-tabela--selo-3             escuro  66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela-vazio               escuro  342x202 vs 342x218        9322/10046/74556                    255      informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela             escuro  342x1955                  76/232/668610                       24       informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela--selo-1     escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-2     escuro  52x20                     0/0/1040                            0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-3     escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela-vazio       escuro  342x230 vs 342x246        13841/15015/84132                   255      informa (mudou, como esperado)
admin-tabelas   usuarios-tabela                  escuro  342x4160 vs 342x4154      12149/13530/1422720                 255      informa (mudou, como esperado)
admin-tabelas   auditoria-tabela                 escuro  342x153                   76/232/52326                        24       informa (mudou, como esperado)
admin-tabelas   auditoria-filtro                 escuro  342x32                    146/251/10944                       141      informa (mudou, como esperado)
admin-tabelas   fila-consolidacao                escuro  342x694 vs 342x688        22102/115512/237348                 255      informa (mudou, como esperado)
admin-tabelas   (foto inteira)                   escuro  390x14053 vs 390x14079    310374/617843/5490810               255      informa (foto inteira)        
admin-importar  tabela-erros-bloqueantes         claro   1392x116                  80/230/161472                       26       informa (mudou, como esperado)
admin-importar  tabela-erros-aviso               claro   1392x79                   80/232/109968                       26       informa (mudou, como esperado)
admin-importar  correcoes-aplicadas              claro   1392x175 vs 1392x183      29492/30946/254736                  255      informa (mudou, como esperado)
admin-importar  grupos-erros                     claro   1392x120 vs 1392x118      7609/8199/167040                    255      informa (mudou, como esperado)
admin-importar  (foto inteira)                   claro   1440x921 vs 1440x927      46529/50307/1334880                 255      informa (foto inteira)        
admin-importar  tabela-erros-bloqueantes         claro   342x116                   80/232/39672                        26       informa (mudou, como esperado)
admin-importar  tabela-erros-aviso               claro   342x79                    80/232/27018                        26       informa (mudou, como esperado)
admin-importar  correcoes-aplicadas              claro   342x263 vs 342x271        18520/20109/92682                   255      informa (mudou, como esperado)
admin-importar  grupos-erros                     claro   342x140 vs 342x138        4499/5085/47880                     255      informa (mudou, como esperado)
admin-importar  (foto inteira)                   claro   390x1073 vs 390x1079      30608/33881/420810                  255      informa (foto inteira)        
admin-importar  tabela-erros-bloqueantes         escuro  1392x116                  76/232/161472                       24       informa (mudou, como esperado)
admin-importar  tabela-erros-aviso               escuro  1392x79                   76/232/109968                       24       informa (mudou, como esperado)
admin-importar  correcoes-aplicadas              escuro  1392x175 vs 1392x183      29750/30943/254736                  255      informa (mudou, como esperado)
admin-importar  grupos-erros                     escuro  1392x120 vs 1392x118      6141/166953/167040                  255      informa (mudou, como esperado)
admin-importar  (foto inteira)                   escuro  1440x921 vs 1440x927      45455/206558/1334880                255      informa (foto inteira)        
admin-importar  tabela-erros-bloqueantes         escuro  342x116                   76/232/39672                        24       informa (mudou, como esperado)
admin-importar  tabela-erros-aviso               escuro  342x79                    76/232/27018                        24       informa (mudou, como esperado)
admin-importar  correcoes-aplicadas              escuro  342x263 vs 342x271        18772/20106/92682                   255      informa (mudou, como esperado)
admin-importar  grupos-erros                     escuro  342x140 vs 342x138        4031/47795/47880                    255      informa (mudou, como esperado)
admin-importar  (foto inteira)                   escuro  390x1073 vs 390x1079      30574/74081/420810                  255      informa (foto inteira)        
admin-dialogos  filial-dialog-novo               claro   1392x617                  0/0/858864                          0        ok (zero)                     
admin-dialogos  filial-dialog-edicao             claro   1392x767                  317/828/1067664                     26       informa (mudou, como esperado)
admin-dialogos  kit-dialog-novo                  claro   1392x747 vs 1392x743      21080/26167/1039824                 255      informa (mudou, como esperado)
admin-dialogos  kit-dialog-edicao                claro   1392x839 vs 1392x815      58380/79835/1167888                 255      informa (mudou, como esperado)
admin-dialogos  motivo-dialog-novo               claro   1392x505                  0/40/702960                         1        ok (zero)                     
admin-dialogos  motivo-dialog-edicao             claro   1392x537                  0/50/747504                         14       ok (zero)                     
admin-dialogos  item-dialog-novo                 claro   1392x467                  0/6/650064                          11       ok (zero)                     
admin-dialogos  item-dialog-edicao               claro   1392x523                  0/0/728016                          0        ok (zero)                     
admin-dialogos  tipo-item-dialog-novo            claro   1392x463                  0/11/644496                         1        ok (zero)                     
admin-dialogos  tipo-item-dialog-edicao          claro   1392x513 vs 1392x511      12701/14695/714096                  255      informa (mudou, como esperado)
admin-dialogos  colaborador-dialog-novo          claro   1392x443                  0/6/616656                          1        ok (zero)                     
admin-dialogos  colaborador-dialog-edicao        claro   1392x551                  0/4/766992                          1        ok (zero)                     
admin-dialogos  editar-usuario-dialog            claro   1392x475                  0/64/661200                         12       ok (zero)                     
admin-dialogos  convidar-usuario-dialog          claro   1392x589                  0/0/819888                          0        ok (zero)                     
admin-dialogos  criar-senha-dialog               claro   1392x357                  8/108/496944                        48       informa (mudou, como esperado)
admin-dialogos  testar-senha-dialog              claro   1392x303                  0/71/421776                         16       informa (mudou, como esperado)
admin-dialogos  gerar-link-acesso                claro   1392x398 vs 1392x396      5954/7115/554016                    255      informa (mudou, como esperado)
admin-dialogos  encerrar-sessoes-dialog          claro   1392x323                  7128/52384/449616                   138      informa (mudou, como esperado)
admin-dialogos  apagar-usuario-dialog-com-email  claro   1392x427                  13878/16358/594384                  140      informa (mudou, como esperado)
admin-dialogos  apagar-usuario-dialog-sem-email  claro   1392x443                  13878/16320/616656                  140      informa (mudou, como esperado)
admin-dialogos  gerar-relatorio-dialog           claro   1392x668 vs 1392x666      10527/11800/929856                  255      informa (mudou, como esperado)
admin-dialogos  (foto inteira)                   claro   1440x12972 vs 1440x12938  773801/1398527/18679680             255      informa (foto inteira)        
admin-dialogos  filial-dialog-novo               claro   342x733                   0/0/250686                          0        ok (zero)                     
admin-dialogos  filial-dialog-edicao             claro   342x824                   317/828/281808                      26       informa (mudou, como esperado)
admin-dialogos  kit-dialog-novo                  claro   342x868                   13850/17317/296856                  245      informa (mudou, como esperado)
admin-dialogos  kit-dialog-edicao                claro   342x876                   14536/16861/299592                  245      informa (mudou, como esperado)
admin-dialogos  motivo-dialog-novo               claro   342x687                   0/0/234954                          0        ok (zero)                     
admin-dialogos  motivo-dialog-edicao             claro   342x731                   0/0/250002                          0        ok (zero)                     
admin-dialogos  item-dialog-novo                 claro   342x573                   0/0/195966                          0        ok (zero)                     
admin-dialogos  item-dialog-edicao               claro   342x657                   0/0/224694                          0        ok (zero)                     
admin-dialogos  tipo-item-dialog-novo            claro   342x503                   0/0/172026                          0        ok (zero)                     
admin-dialogos  tipo-item-dialog-edicao          claro   342x553 vs 342x551        11704/13925/189126                  255      informa (mudou, como esperado)
admin-dialogos  colaborador-dialog-novo          claro   342x553                   0/2/189126                          1        ok (zero)                     
admin-dialogos  colaborador-dialog-edicao        claro   342x661                   0/0/226062                          0        ok (zero)                     
admin-dialogos  editar-usuario-dialog            claro   342x711                   0/24/243162                         4        ok (zero)                     
admin-dialogos  convidar-usuario-dialog          claro   342x813                   0/2/278046                          1        ok (zero)                     
admin-dialogos  criar-senha-dialog               claro   342x397                   0/9/135774                          12       informa (mudou, como esperado)
admin-dialogos  testar-senha-dialog              claro   342x375                   2/16/128250                         21       informa (mudou, como esperado)
admin-dialogos  gerar-link-acesso                claro   342x501 vs 342x499        4136/5006/171342                    255      informa (mudou, como esperado)
admin-dialogos  encerrar-sessoes-dialog          claro   342x423                   7100/46116/144666                   138      informa (mudou, como esperado)
admin-dialogos  apagar-usuario-dialog-com-email  claro   342x527                   13808/16362/180234                  140      informa (mudou, como esperado)
admin-dialogos  apagar-usuario-dialog-sem-email  claro   342x559                   13808/16350/191178                  140      informa (mudou, como esperado)
admin-dialogos  gerar-relatorio-dialog           claro   342x831 vs 342x829        8583/9701/284202                    255      informa (mudou, como esperado)
admin-dialogos  (foto inteira)                   claro   390x15433 vs 390x15427    327898/427780/6018870               255      informa (foto inteira)        
admin-dialogos  filial-dialog-novo               escuro  1392x617                  0/0/858864                          0        ok (zero)                     
admin-dialogos  filial-dialog-edicao             escuro  1392x767                  273/819/1067664                     30       informa (mudou, como esperado)
admin-dialogos  kit-dialog-novo                  escuro  1392x747 vs 1392x743      21398/27944/1039824                 255      informa (mudou, como esperado)
admin-dialogos  kit-dialog-edicao                escuro  1392x839 vs 1392x815      58999/81332/1167888                 255      informa (mudou, como esperado)
admin-dialogos  motivo-dialog-novo               escuro  1392x505                  0/29/702960                         2        ok (zero)                     
admin-dialogos  motivo-dialog-edicao             escuro  1392x537                  0/17/747504                         12       ok (zero)                     
admin-dialogos  item-dialog-novo                 escuro  1392x467                  0/6/650064                          10       ok (zero)                     
admin-dialogos  item-dialog-edicao               escuro  1392x523                  0/0/728016                          0        ok (zero)                     
admin-dialogos  tipo-item-dialog-novo            escuro  1392x463                  0/23/644496                         8        ok (zero)                     
admin-dialogos  tipo-item-dialog-edicao          escuro  1392x513 vs 1392x511      12922/15351/714096                  255      informa (mudou, como esperado)
admin-dialogos  colaborador-dialog-novo          escuro  1392x443                  0/9/616656                          3        ok (zero)                     
admin-dialogos  colaborador-dialog-edicao        escuro  1392x551                  0/12/766992                         5        ok (zero)                     
admin-dialogos  editar-usuario-dialog            escuro  1392x475                  0/15/661200                         10       ok (zero)                     
admin-dialogos  convidar-usuario-dialog          escuro  1392x589                  0/2/819888                          2        ok (zero)                     
admin-dialogos  criar-senha-dialog               escuro  1392x357                  7/57/496944                         45       informa (mudou, como esperado)
admin-dialogos  testar-senha-dialog              escuro  1392x303                  0/63/421776                         15       informa (mudou, como esperado)
admin-dialogos  gerar-link-acesso                escuro  1392x398 vs 1392x396      5978/7128/554016                    255      informa (mudou, como esperado)
admin-dialogos  encerrar-sessoes-dialog          escuro  1392x323                  8585/52384/449616                   168      informa (mudou, como esperado)
admin-dialogos  apagar-usuario-dialog-com-email  escuro  1392x427                  13860/16354/594384                  138      informa (mudou, como esperado)
admin-dialogos  apagar-usuario-dialog-sem-email  escuro  1392x443                  13860/16318/616656                  138      informa (mudou, como esperado)
admin-dialogos  gerar-relatorio-dialog           escuro  1392x668 vs 1392x666      10638/11715/929856                  255      informa (mudou, como esperado)
admin-dialogos  (foto inteira)                   escuro  1440x12972 vs 1440x12938  999927/2174900/18679680             255      informa (foto inteira)        
admin-dialogos  filial-dialog-novo               escuro  342x733                   0/0/250686                          0        ok (zero)                     
admin-dialogos  filial-dialog-edicao             escuro  342x824                   273/819/281808                      30       informa (mudou, como esperado)
admin-dialogos  kit-dialog-novo                  escuro  342x868                   14057/18746/296856                  227      informa (mudou, como esperado)
admin-dialogos  kit-dialog-edicao                escuro  342x876                   14772/17975/299592                  227      informa (mudou, como esperado)
admin-dialogos  motivo-dialog-novo               escuro  342x687                   0/0/234954                          0        ok (zero)                     
admin-dialogos  motivo-dialog-edicao             escuro  342x731                   0/0/250002                          0        ok (zero)                     
admin-dialogos  item-dialog-novo                 escuro  342x573                   0/0/195966                          0        ok (zero)                     
admin-dialogos  item-dialog-edicao               escuro  342x657                   0/0/224694                          0        ok (zero)                     
admin-dialogos  tipo-item-dialog-novo            escuro  342x503                   0/0/172026                          0        ok (zero)                     
admin-dialogos  tipo-item-dialog-edicao          escuro  342x553 vs 342x551        11925/14431/189126                  255      informa (mudou, como esperado)
admin-dialogos  colaborador-dialog-novo          escuro  342x553                   0/1/189126                          1        ok (zero)                     
admin-dialogos  colaborador-dialog-edicao        escuro  342x661                   0/0/226062                          0        ok (zero)                     
admin-dialogos  editar-usuario-dialog            escuro  342x711                   0/19/243162                         4        ok (zero)                     
admin-dialogos  convidar-usuario-dialog          escuro  342x813                   0/4/278046                          1        ok (zero)                     
admin-dialogos  criar-senha-dialog               escuro  342x397                   0/34/135774                         11       informa (mudou, como esperado)
admin-dialogos  testar-senha-dialog              escuro  342x375                   1/15/128250                         19       informa (mudou, como esperado)
admin-dialogos  gerar-link-acesso                escuro  342x501 vs 342x499        4161/5031/171342                    255      informa (mudou, como esperado)
